Variant ID;Chromosome;Position;Detection method;Data set;Variant type;Length (bp);TE;Frequency;P-value*;Effect+;Gene(s) in 2 Kb proximity;Gene(s) coordiantes;Position(s) respect the gene(s);Overlapping Related QTL in SNP-seek
SNP:5:26574276;5;26574276;GLM;SNPs;SNP;1;-;0.497;1.6977E-07;0.116324694;"Os05g0535100 (Similar to Beta-1,3-glucanase-like protein); Os05g0535200 (OsFbox269/OsFBL25)";"chr05:26570425..26573958 (- strand); chr05:26575670..26578439 (+ strand)";"Upstream; Upstream";Yes
SNP:7:5726687;7;5726687;GLM;SNPs;SNP;1;-;0.288;3.32874E-07;-0.108527988;Os07g0206300 (Conserved hypothetical/Leucine-rich repeat domain superfamily protein);chr07:5723982..5726591 (- strand);Upstream;No
SNP:7:6468393;7;6468393;GLM;SNPs;SNP;1;-;0.258;7.85715E-08;-0.112539714;-;-;-;No
DEL:7:22114196..22114408;7;22114196;GLM;SVs+SNPs;SV;-212;-;0.221;2.12482E-07;-0.220758667;"Os07g0555100 (conserved hypothetical); Os07g0555200 (eIF4G)";"chr07:22110826..22113674 (+ strand); chr07:22114961..22123061 (+ strand)";"Downstream; Upstream";No
INS:7:22203451..22203451;7;22203451;GLM, BLINK;SVs;SV;92;-;0.227;9.86E-22;-0.227991512;Os07g0556500 (hypothetical conserved);chr07:22197089..22203636 (- strand);1st exon;No
DEL:7:22206452..22206649;7;22206452;GLM;SVs;SV;-197;-;0.233;1.29886E-06;-0.202824628;-;-;-;No
SNP:7:22227245;7;22227245;BLINK;SVs+SNPs;SNP;1;-;0.252;2.14E-22;-;-;;-;No
SNP:7:22274620;7;22274620;BLINK;SNPs;SNP;1;-;0.233;1.13E-18;-;Os07g0558000 (ABC-1 domain containing protein);chr07:22268266..22273616 (-strand);Upstream;No
SNP:7:24533303;7;24533303;GLM;SVs+SNPs;SNP;1;-;0.252;1.22E-10;-0.25148;-;-;-;Yes
SNP:7:24898274;7;24898274;GLM;SNPs;SNP;1;-;0.252;1.07908E-07;-0.247971658;-;-;-;Yes
DEL:8:5094884..5094926;8;5094884;BLINK;SVs, SVs+SNPs;SV;-42;-;0.166;6.13E-13;-;-;-;-;No
SNP:8:9858015;8;9858015;GLM;SVs+SNPs;SNP;1;-;0.503;0.000000253;0.12098;-;-;-;No
SNP:8:10602023;8;10602023;GLM;SVs+SNPs;SNP;1;-;0.485;0.000000173;0.123;-;-;-;No
INS:8:10799786..10799786;8;10799786;GLM;SVs+SNPs;SV;133;-;0.441;5.82463E-08;0.122599831;Os08g0278600 (Complex 1 LYR protein family protein);chr08:10796069..10803842 (- strand);1st intron;No
INS:8:10899634..10899634;8;10899634;GLM;SVs+SNPs;SV;58;-;0.441;1.57684E-07;0.118789609;"Os08g0280100 (OsPAP23); Os08g0280125 (hypothetical)";"chr08:10899946..10909610 (+ strand); chr08:10900154..10903100 (- strand)";"Upstream; Downstream";No
SNP:8:11273584;8;11273584;GLM;SVs+SNPs;SNP;1;-;0.472;0.000000216;0.126700353;Os08g0285600 (Similar to phytosulfokine receptor);chr08:11274674..11279209 (- strand);Downstream;No
SNP:8:11310345;8;11310345;GLM;SVs+SNPs;SNP;1;-;0.472;0.000000231;0.12119;Os08g0286100 (OsPLL11);chr08:11310680..11312142 (+ strand);Upstream;No
SNP:8:11425706;8;11425706;GLM;SVs+SNPs;SNP;1;-;0.472;0.000000167;0.125960438;-;-;-;No
SNP:8:11536829;8;11536829;GLM;SNPs;SNP;1;-;0.497;1.21419E-07;0.127432924;-;-;-;No
SNP:8:15595212;8;15595212;GLM;SNPs;SNP;1;-;0.46;2.83944E-08;0.118107425;Os08g0344600 (Triose phosphate/phosphate translocator);chr08:15592259..15599090 (+strand);4th intron;No
SNP:8:15684237;8;15684237;GLM;SNPs;SNP;1;-;0.46;3.0194E-07;0.105277343;-;-;-;No
SNP:8:15686788;8;15686788;GLM;SVs+SNPs;SNP;1;-;0.429;0.000000145;0.11191;-;-;-;No
INS:8:15690028..15690028;8;15690028;GLM;SVs+SNPs;SV;43;-;0.417;2.33946E-07;0.114974996;-;-;-;No
SNP:8:15706411;8;15706411;GLM;SVs+SNPs;SNP;1;-;0.448;0.000000186;0.10617;-;-;-;No
INS:8:20978947..20978947;8;20978947;BLINK;SVs;SV;84;-;0.417;0.000000293;-;Os08g0432800 (OsbHLH38);chr08:20974277..20977254 (- strand);Upstream;No
INS:8:24525465..24525465;8;24525465;BLINK;SVs;SV;82;-;0.08;4.08E-08;-;-;-;-;No
INS:8:24735121..24735121;8;24735121;GLM;SVs, SVs+SNPs;SV;262;Os0064;0.448;3.92249E-11;-0.144298201;"Os08g0500900 (OsGART); Os08g0501000 (conserved hypothetical)";"chr08:24731592..24734103 (+ strand); chr08:24734910..24738361 (- strand)";"Downstream; 3rd exon";No
SNP:9:14984371;9;14984371;GLM;SVs+SNPs;SNP;1;-;0.423;0.000000116;0.10882;-;-;-;No
DEL:9:22048437..22048518;9;22048437;BLINK;SVs;SV;-81;-;0.166;8.42E-15;-;Os09g0555600 (OsARC3);chr09:22048464..22057029 (- strand);3' UTR;No
SNP:11:11666717;11;11666717;GLM;SVs+SNPs;SNP;1;-;0.344;1.69552E-07;-0.111179819;Os11g0307550 (Conserved hypothetical);chr11:11666345..11667519 (+ strand);3' UTR;Yes
